SW_MATCHED,SW_ELAPSED,HW_MATCHED,HW_ELAPSED
128,0.005034,128,0.148700
128,0.005010,128,0.148607
128,0.005005,128,0.148692
128,0.005092,128,0.148690
128,0.004999,128,0.148682
128,0.005067,128,0.148644
128,0.005125,128,0.148683
128,0.005059,128,0.148687
128,0.005139,128,0.148643
128,0.005052,128,0.148689
128,0.005064,128,0.148692
128,0.005032,128,0.148688
128,0.005128,128,0.148691
128,0.005063,128,0.148718
128,0.005077,128,0.148697
128,0.005055,128,0.148708
128,0.005071,128,0.148687
128,0.005020,128,0.148688
128,0.005022,128,0.148650
128,0.005022,128,0.148641
128,0.005016,128,0.148687
128,0.005037,128,0.148695
128,0.004970,128,0.148688
128,0.005100,128,0.148647
128,0.005085,128,0.148685
128,0.005100,128,0.148696
128,0.005025,128,0.148687
128,0.005083,128,0.148681
128,0.005064,128,0.148690
128,0.005056,128,0.148685
128,0.005026,128,0.148683
128,0.005086,128,0.148284
128,0.004981,128,0.148693
128,0.005108,128,0.148691
128,0.005065,128,0.148688
128,0.005008,128,0.148698
128,0.005098,128,0.148704
128,0.005084,128,0.148667
128,0.005085,128,0.148693
128,0.005087,128,0.148688
128,0.005056,128,0.148690
128,0.005075,128,0.148683
128,0.005101,128,0.148683
128,0.005069,128,0.148690
128,0.005120,128,0.148616
128,0.005111,128,0.148685
128,0.005120,128,0.148695
128,0.005054,128,0.148689
128,0.005088,128,0.148688
128,0.005079,128,0.148712
128,0.005092,128,0.148692
128,0.005080,128,0.148654
128,0.005076,128,0.148691
128,0.005046,128,0.148688
128,0.005111,128,0.148684
128,0.005046,128,0.148674
128,0.005080,128,0.148692
128,0.004979,128,0.148688
128,0.005105,128,0.147755
128,0.005044,128,0.148686
128,0.005127,128,0.148357
128,0.005044,128,0.148690
128,0.005071,128,0.148674
128,0.005058,128,0.148692
128,0.005131,128,0.148690
128,0.005088,128,0.148693
128,0.005021,128,0.148634
128,0.004980,128,0.148660
128,0.005050,128,0.148692
128,0.005129,128,0.148684
128,0.005073,128,0.148666
128,0.004995,128,0.148685
128,0.005060,128,0.148664
128,0.005092,128,0.148641
128,0.005057,128,0.148661
128,0.005102,128,0.148646
128,0.005059,128,0.148704
128,0.005050,128,0.148693
128,0.005106,128,0.148688
128,0.005044,128,0.148687
128,0.005081,128,0.148621
128,0.005033,128,0.148690
128,0.005056,128,0.148694
128,0.005069,128,0.148680
128,0.005073,128,0.148671
128,0.005036,128,0.148698
128,0.005083,128,0.148684
128,0.005085,128,0.148717
128,0.005052,128,0.148697
128,0.005118,128,0.148691
128,0.005064,128,0.148663
128,0.005093,128,0.148312
128,0.005030,128,0.148695
128,0.005085,128,0.148692
128,0.005105,128,0.148694
128,0.005011,128,0.148698
128,0.005015,128,0.148349
128,0.005084,128,0.148695
128,0.005046,128,0.148688
128,0.005120,128,0.148695
128,0.005147,128,0.148695
128,0.005127,128,0.148694
128,0.004991,128,0.148685
128,0.005055,128,0.148681
128,0.004991,128,0.148685
128,0.005027,128,0.148684
128,0.005025,128,0.148523
128,0.005071,128,0.148694
128,0.005098,128,0.148688
128,0.005029,128,0.148578
128,0.005065,128,0.148696
128,0.005009,128,0.148668
128,0.005052,128,0.148428
128,0.005140,128,0.148681
128,0.005038,128,0.148696
128,0.005168,128,0.148690
128,0.005154,128,0.148698
128,0.005068,128,0.148685
128,0.005022,128,0.148658
128,0.005084,128,0.148425
128,0.005049,128,0.148682
128,0.005102,128,0.148682
128,0.005093,128,0.148688
128,0.005098,128,0.148687
128,0.005078,128,0.148692
128,0.005027,128,0.148688
128,0.005075,128,0.148686
128,0.005066,128,0.148673
128,0.005075,128,0.148690
128,0.005029,128,0.148691
128,0.005048,128,0.148680
128,0.005048,128,0.148684
128,0.005099,128,0.148690
128,0.005014,128,0.148687
128,0.004995,128,0.148699
128,0.005102,128,0.148680
128,0.005009,128,0.148688
128,0.005032,128,0.148429
128,0.005038,128,0.148622
128,0.005057,128,0.148693
128,0.005060,128,0.148696
128,0.004981,128,0.148686
128,0.005044,128,0.148691
128,0.005104,128,0.148687
128,0.005019,128,0.148682
128,0.005048,128,0.148627
128,0.005072,128,0.148691
128,0.005125,128,0.148696
