SW_MATCHED,SW_ELAPSED,HW_MATCHED,HW_ELAPSED
300,128,0.000527,128,0.014861
300,128,0.000518,128,0.014882
300,128,0.000517,128,0.014885
300,128,0.000517,128,0.014883
300,128,0.000522,128,0.014864
300,128,0.000528,128,0.014874
300,128,0.000522,128,0.014864
300,128,0.000529,128,0.014875
300,128,0.000517,128,0.014884
300,128,0.000520,128,0.014875
300,128,0.000520,128,0.014778
300,128,0.000516,128,0.014883
300,128,0.000523,128,0.014874
300,128,0.000517,128,0.014874
300,128,0.000516,128,0.014874
300,128,0.000520,128,0.014896
300,128,0.000518,128,0.014882
300,128,0.000523,128,0.014881
300,128,0.000530,128,0.014874
300,128,0.000522,128,0.014856
300,128,0.000518,128,0.014871
300,128,0.000519,128,0.014881
300,128,0.000525,128,0.014881
300,128,0.000527,128,0.014861
300,128,0.000519,128,0.014848
300,128,0.000515,128,0.014846
300,128,0.000527,128,0.014853
300,128,0.000526,128,0.014875
300,128,0.000536,128,0.014875
300,128,0.000527,128,0.014867
300,128,0.000522,128,0.014865
300,128,0.000517,128,0.014873
300,128,0.000520,128,0.014874
300,128,0.000538,128,0.014875
300,128,0.000522,128,0.014890
300,128,0.000526,128,0.014874
300,128,0.000526,128,0.014874
300,128,0.000516,128,0.014889
300,128,0.000529,128,0.014893
300,128,0.000525,128,0.014881
300,128,0.000522,128,0.014860
300,128,0.000517,128,0.014899
300,128,0.000519,128,0.014875
300,128,0.000523,128,0.014874
300,128,0.000526,128,0.014866
300,128,0.000523,128,0.014875
300,128,0.000519,128,0.014874
300,128,0.000525,128,0.014874
300,128,0.000512,128,0.014875
300,128,0.000524,128,0.014882
300,128,0.000521,128,0.014882
300,128,0.000522,128,0.014882
300,128,0.000530,128,0.014874
300,128,0.000539,128,0.014874
300,128,0.000534,128,0.014858
300,128,0.000521,128,0.014863
300,128,0.000519,128,0.014874
300,128,0.000516,128,0.014849
300,128,0.000531,128,0.014875
300,128,0.000525,128,0.014875
300,128,0.000525,128,0.014865
300,128,0.000520,128,0.014872
300,128,0.000522,128,0.014856
300,128,0.000529,128,0.014866
300,128,0.000513,128,0.014887
300,128,0.000526,128,0.014808
300,128,0.000522,128,0.014882
300,128,0.000531,128,0.014866
300,128,0.000516,128,0.014874
300,128,0.000525,128,0.014874
300,128,0.000526,128,0.014874
300,128,0.000528,128,0.014874
300,128,0.000522,128,0.014881
300,128,0.000525,128,0.014875
300,128,0.000523,128,0.014865
300,128,0.000529,128,0.014882
300,128,0.000527,128,0.014875
300,128,0.000523,128,0.014875
300,128,0.000524,128,0.014866
300,128,0.000517,128,0.014874
300,128,0.000527,128,0.014867
300,128,0.000532,128,0.014874
300,128,0.000521,128,0.014883
300,128,0.000527,128,0.014875
300,128,0.000520,128,0.014864
300,128,0.000521,128,0.014874
300,128,0.000523,128,0.014874
300,128,0.000519,128,0.014886
300,128,0.000523,128,0.014814
300,128,0.000519,128,0.014886
300,128,0.000521,128,0.014853
300,128,0.000516,128,0.014844
300,128,0.000525,128,0.014882
300,128,0.000519,128,0.014894
300,128,0.000517,128,0.014885
300,128,0.000528,128,0.014866
300,128,0.000521,128,0.014883
300,128,0.000516,128,0.014861
300,128,0.000518,128,0.014886
300,128,0.000518,128,0.014882
400,128,0.000687,128,0.019880
400,128,0.000690,128,0.019880
400,128,0.000686,128,0.019879
400,128,0.000695,128,0.019893
400,128,0.000683,128,0.019887
400,128,0.000683,128,0.019886
400,128,0.000709,128,0.019881
400,128,0.000688,128,0.019811
400,128,0.000685,128,0.019894
400,128,0.000698,128,0.019877
400,128,0.000691,128,0.019886
400,128,0.000688,128,0.019888
400,128,0.000686,128,0.019890
400,128,0.000697,128,0.019896
400,128,0.000685,128,0.019815
400,128,0.000701,128,0.019880
400,128,0.000696,128,0.019894
400,128,0.000712,128,0.019880
400,128,0.000695,128,0.019851
400,128,0.000695,128,0.019870
400,128,0.000687,128,0.019870
400,128,0.000703,128,0.019880
400,128,0.000695,128,0.019884
400,128,0.000690,128,0.019880
400,128,0.000694,128,0.019887
400,128,0.000682,128,0.019807
400,128,0.000687,128,0.019890
400,128,0.000688,128,0.019880
400,128,0.000693,128,0.019880
400,128,0.000691,128,0.019880
400,128,0.000684,128,0.019883
400,128,0.000691,128,0.019871
400,128,0.000687,128,0.019876
400,128,0.000703,128,0.019880
400,128,0.000683,128,0.019864
400,128,0.000686,128,0.019884
400,128,0.000684,128,0.019789
400,128,0.000685,128,0.019868
400,128,0.000692,128,0.019879
400,128,0.000686,128,0.019879
400,128,0.000710,128,0.019885
400,128,0.000694,128,0.019871
400,128,0.000695,128,0.019879
400,128,0.000682,128,0.019836
400,128,0.000678,128,0.019880
400,128,0.000691,128,0.019880
400,128,0.000693,128,0.019880
400,128,0.000682,128,0.019894
400,128,0.000689,128,0.019886
400,128,0.000693,128,0.019887
400,128,0.000704,128,0.019878
400,128,0.000686,128,0.019888
400,128,0.000695,128,0.019876
400,128,0.000682,128,0.019892
400,128,0.000683,128,0.019884
400,128,0.000694,128,0.019892
400,128,0.000681,128,0.019895
400,128,0.000686,128,0.019486
400,128,0.000679,128,0.019886
400,128,0.000689,128,0.019823
400,128,0.000688,128,0.019881
400,128,0.000685,128,0.019853
400,128,0.000681,128,0.019881
400,128,0.000695,128,0.019874
400,128,0.000686,128,0.019880
400,128,0.000689,128,0.019880
400,128,0.000687,128,0.019885
400,128,0.000698,128,0.019880
400,128,0.000684,128,0.019888
400,128,0.000691,128,0.019887
400,128,0.000685,128,0.019880
400,128,0.000699,128,0.019880
400,128,0.000685,128,0.019880
400,128,0.000690,128,0.019829
400,128,0.000692,128,0.019880
400,128,0.000703,128,0.019865
400,128,0.000696,128,0.019880
400,128,0.000689,128,0.019886
400,128,0.000690,128,0.019888
400,128,0.000702,128,0.019880
400,128,0.000687,128,0.019886
400,128,0.000685,128,0.019885
400,128,0.000685,128,0.019889
400,128,0.000700,128,0.019887
400,128,0.000690,128,0.019811
400,128,0.000706,128,0.019893
400,128,0.000690,128,0.019872
400,128,0.000689,128,0.019886
400,128,0.000694,128,0.019887
400,128,0.000695,128,0.019888
400,128,0.000688,128,0.019892
400,128,0.000698,128,0.019868
400,128,0.000686,128,0.019880
400,128,0.000695,128,0.019879
400,128,0.000691,128,0.019878
400,128,0.000700,128,0.019892
400,128,0.000687,128,0.019889
400,128,0.000693,128,0.019895
400,128,0.000690,128,0.019858
400,128,0.000688,128,0.019886
500,128,0.000857,128,0.024797
500,128,0.000861,128,0.024799
500,128,0.000883,128,0.024821
500,128,0.000856,128,0.024826
500,128,0.000864,128,0.024813
500,128,0.000876,128,0.024740
500,128,0.000882,128,0.024818
500,128,0.000861,128,0.024814
500,128,0.000853,128,0.024821
500,128,0.000869,128,0.024823
500,128,0.000852,128,0.024819
500,128,0.000869,128,0.024813
500,128,0.000866,128,0.024799
500,128,0.000861,128,0.024812
500,128,0.000863,128,0.024813
500,128,0.000856,128,0.024731
500,128,0.000864,128,0.024820
500,128,0.000858,128,0.024821
500,128,0.000859,128,0.024813
500,128,0.000853,128,0.024822
500,128,0.000858,128,0.024811
500,128,0.000865,128,0.024788
500,128,0.000874,128,0.024819
500,128,0.000861,128,0.024812
500,128,0.000856,128,0.024813
500,128,0.000852,128,0.024813
500,128,0.000854,128,0.024812
500,128,0.000857,128,0.024819
500,128,0.000869,128,0.024813
500,128,0.000849,128,0.024804
500,128,0.000869,128,0.024813
500,128,0.000862,128,0.024818
500,128,0.000889,128,0.024821
500,128,0.000864,128,0.024818
500,128,0.000852,128,0.024821
500,128,0.000845,128,0.024819
500,128,0.000883,128,0.024817
500,128,0.000868,128,0.024817
500,128,0.000870,128,0.024818
500,128,0.000859,128,0.024831
500,128,0.000874,128,0.024810
500,128,0.000856,128,0.024827
500,128,0.000871,128,0.024817
500,128,0.000878,128,0.024810
500,128,0.000857,128,0.024813
500,128,0.000863,128,0.024799
500,128,0.000860,128,0.024790
500,128,0.000858,128,0.024813
500,128,0.000852,128,0.024820
500,128,0.000859,128,0.024821
500,128,0.000858,128,0.024813
500,128,0.000857,128,0.024791
500,128,0.000870,128,0.024820
500,128,0.000858,128,0.024820
500,128,0.000864,128,0.024806
500,128,0.000862,128,0.024814
500,128,0.000860,128,0.024822
500,128,0.000860,128,0.024810
500,128,0.000872,128,0.024819
500,128,0.000853,128,0.024827
500,128,0.000855,128,0.024819
500,128,0.000887,128,0.024818
500,128,0.000865,128,0.024817
500,128,0.000865,128,0.024819
500,128,0.000874,128,0.024820
500,128,0.000848,128,0.024719
500,128,0.000861,128,0.024820
500,128,0.000866,128,0.024833
500,128,0.000858,128,0.024813
500,128,0.000871,128,0.024826
500,128,0.000869,128,0.024818
500,128,0.000855,128,0.024813
500,128,0.000846,128,0.024806
500,128,0.000870,128,0.024819
500,128,0.000857,128,0.024813
500,128,0.000845,128,0.024494
500,128,0.000859,128,0.024821
500,128,0.000856,128,0.024825
500,128,0.000861,128,0.024827
500,128,0.000852,128,0.024822
500,128,0.000855,128,0.024791
500,128,0.000859,128,0.024802
500,128,0.000865,128,0.024821
500,128,0.000852,128,0.024811
500,128,0.000854,128,0.024760
500,128,0.000856,128,0.024817
500,128,0.000870,128,0.024814
500,128,0.000873,128,0.024806
500,128,0.000866,128,0.024819
500,128,0.000853,128,0.024818
500,128,0.000857,128,0.024805
500,128,0.000857,128,0.024719
500,128,0.000863,128,0.024813
500,128,0.000858,128,0.024818
500,128,0.000851,128,0.024809
500,128,0.000866,128,0.024821
500,128,0.000878,128,0.024818
500,128,0.000874,128,0.024811
500,128,0.000851,128,0.024813
500,128,0.000850,128,0.024813
600,128,0.001044,128,0.029742
600,128,0.001046,128,0.029752
600,128,0.001030,128,0.029752
600,128,0.001037,128,0.029746
600,128,0.001017,128,0.029753
600,128,0.001013,128,0.029751
600,128,0.001046,128,0.029746
600,128,0.001031,128,0.029720
600,128,0.001034,128,0.029747
600,128,0.001015,128,0.029747
600,128,0.001027,128,0.029753
600,128,0.001029,128,0.029746
600,128,0.001024,128,0.029747
600,128,0.001027,128,0.029760
600,128,0.001044,128,0.029752
600,128,0.001025,128,0.029738
600,128,0.001014,128,0.029747
600,128,0.001041,128,0.029760
600,128,0.001037,128,0.029658
600,128,0.001018,128,0.029753
600,128,0.001022,128,0.029759
600,128,0.001044,128,0.029753
600,128,0.001029,128,0.029743
600,128,0.001019,128,0.029746
600,128,0.001021,128,0.029690
600,128,0.001049,128,0.029750
600,128,0.001036,128,0.029754
600,128,0.001030,128,0.029752
600,128,0.001031,128,0.029751
600,128,0.001020,128,0.029741
600,128,0.001024,128,0.029759
600,128,0.001032,128,0.029753
600,128,0.001016,128,0.029747
600,128,0.001034,128,0.029744
600,128,0.001029,128,0.029760
600,128,0.001038,128,0.029768
600,128,0.001020,128,0.029758
600,128,0.001031,128,0.029744
600,128,0.001030,128,0.029751
600,128,0.001059,128,0.029666
600,128,0.001036,128,0.029745
600,128,0.001023,128,0.029744
600,128,0.001043,128,0.029746
600,128,0.001023,128,0.029682
600,128,0.001033,128,0.029763
600,128,0.001022,128,0.029754
600,128,0.001030,128,0.029746
600,128,0.001018,128,0.029753
600,128,0.001036,128,0.029751
600,128,0.001018,128,0.029739
600,128,0.001026,128,0.029699
600,128,0.001016,128,0.029753
600,128,0.001019,128,0.029761
600,128,0.001028,128,0.029753
600,128,0.001026,128,0.029758
600,128,0.001028,128,0.029757
600,128,0.001042,128,0.029749
600,128,0.001035,128,0.029751
600,128,0.001028,128,0.029664
600,128,0.001026,128,0.029747
600,128,0.001023,128,0.029747
600,128,0.001024,128,0.029746
600,128,0.001038,128,0.029753
600,128,0.001027,128,0.029735
600,128,0.001023,128,0.029756
600,128,0.001043,128,0.029681
600,128,0.001034,128,0.029751
600,128,0.001051,128,0.029745
600,128,0.001029,128,0.029746
600,128,0.001024,128,0.029747
600,128,0.001022,128,0.029753
600,128,0.001030,128,0.029753
600,128,0.001036,128,0.029675
600,128,0.001045,128,0.029754
600,128,0.001020,128,0.029735
600,128,0.001011,128,0.029747
600,128,0.001023,128,0.029700
600,128,0.001037,128,0.029752
600,128,0.001041,128,0.029743
600,128,0.001025,128,0.029746
600,128,0.001035,128,0.029757
600,128,0.001031,128,0.029753
600,128,0.001037,128,0.029755
600,128,0.001019,128,0.029747
600,128,0.001012,128,0.029746
600,128,0.001015,128,0.029716
600,128,0.001026,128,0.029751
600,128,0.001033,128,0.029671
600,128,0.001037,128,0.029753
