DB_SIZE,SW_MATCHED,SW_ELAPSED,HW_MATCHED,HW_ELAPSED
500,128,0.001698,128,0.316911
500,128,0.001738,128,0.316864
500,128,0.001677,128,0.316932
500,128,0.001762,128,0.316936
500,128,0.001766,128,0.316928
500,128,0.001713,128,0.316575
500,128,0.001712,128,0.316843
500,128,0.001720,128,0.316918
500,128,0.001742,128,0.316918
500,128,0.001698,128,0.316904
500,128,0.001697,128,0.316608
500,128,0.001726,128,0.316659
500,128,0.001727,128,0.316519
500,128,0.001734,128,0.316599
500,128,0.001734,128,0.314959
500,128,0.001757,128,0.316924
500,128,0.001698,128,0.316931
500,128,0.001761,128,0.316912
500,128,0.001755,128,0.314833
500,128,0.001730,128,0.316848
500,128,0.001746,128,0.316366
500,128,0.001766,128,0.315314
500,128,0.001701,128,0.316671
500,128,0.001741,128,0.316891
500,128,0.001726,128,0.316918
500,128,0.001735,128,0.316597
500,128,0.001732,128,0.316925
500,128,0.001761,128,0.316595
500,128,0.001715,128,0.316914
500,128,0.001690,128,0.316746
500,128,0.001745,128,0.316921
500,128,0.001720,128,0.316930
500,128,0.001806,128,0.303252
500,128,0.001729,128,0.316917
500,128,0.001746,128,0.316854
500,128,0.001751,128,0.316127
500,128,0.001719,128,0.316827
500,128,0.001697,128,0.316924
500,128,0.001739,128,0.316936
500,128,0.001686,128,0.316638
500,128,0.001686,128,0.316932
500,128,0.001697,128,0.316759
500,128,0.001698,128,0.316903
500,128,0.001748,128,0.316910
500,128,0.001758,128,0.316937
500,128,0.001733,128,0.316688
500,128,0.001692,128,0.316919
500,128,0.001684,128,0.314560
500,128,0.001743,128,0.316903
500,128,0.001737,128,0.316937
500,128,0.001697,128,0.315570
500,128,0.001779,128,0.315766
500,128,0.001752,128,0.313950
500,128,0.001689,128,0.316890
500,128,0.001755,128,0.312453
500,128,0.001744,128,0.316606
500,128,0.001734,128,0.316855
500,128,0.001744,128,0.316935
500,128,0.001752,128,0.316527
500,128,0.001738,128,0.316052
500,128,0.001702,128,0.316529
500,128,0.001719,128,0.316541
500,128,0.001694,128,0.316932
500,128,0.001721,128,0.316937
500,128,0.001754,128,0.316913
500,128,0.001722,128,0.316547
500,128,0.001736,128,0.316581
500,128,0.001741,128,0.316889
500,128,0.001748,128,0.316921
500,128,0.001714,128,0.316919
500,128,0.001738,128,0.316789
500,128,0.001754,128,0.316837
500,128,0.001757,128,0.316802
500,128,0.001743,128,0.316808
500,128,0.001749,128,0.316824
500,128,0.001696,128,0.316818
500,128,0.001714,128,0.315531
500,128,0.001725,128,0.316715
500,128,0.001684,128,0.316268
500,128,0.001716,128,0.316680
500,128,0.001772,128,0.316736
500,128,0.001749,128,0.316591
500,128,0.001749,128,0.316934
500,128,0.001686,128,0.316519
500,128,0.001739,128,0.316493
500,128,0.001753,128,0.316933
500,128,0.001692,128,0.316592
500,128,0.001777,128,0.316909
500,128,0.001729,128,0.316537
500,128,0.001732,128,0.316536
500,128,0.001682,128,0.316320
500,128,0.001717,128,0.316938
500,128,0.001741,128,0.316923
500,128,0.001735,128,0.316600
500,128,0.001768,128,0.316939
500,128,0.001751,128,0.316610
500,128,0.001731,128,0.314885
500,128,0.001688,128,0.316926
500,128,0.001715,128,0.316576
500,128,0.001690,128,0.316936
1000,128,0.003400,128,0.316844
1000,128,0.003465,128,0.316523
1000,128,0.003477,128,0.316940
1000,128,0.003413,128,0.316939
1000,128,0.003497,128,0.300950
1000,128,0.003514,128,0.310956
1000,128,0.003370,128,0.316936
1000,128,0.003464,128,0.315691
1000,128,0.003427,128,0.316904
1000,128,0.003477,128,0.315734
1000,128,0.003423,128,0.316222
1000,128,0.003482,128,0.316939
1000,128,0.003468,128,0.316796
1000,128,0.003425,128,0.315633
1000,128,0.003354,128,0.315860
1000,128,0.003376,128,0.315726
1000,128,0.003407,128,0.316917
1000,128,0.003402,128,0.314338
1000,128,0.003374,128,0.316929
1000,128,0.003500,128,0.316209
1000,128,0.003362,128,0.315685
1000,128,0.003429,128,0.315202
1000,128,0.003427,128,0.316934
1000,128,0.003381,128,0.315966
1000,128,0.003433,128,0.316271
1000,128,0.003493,128,0.316939
1000,128,0.003350,128,0.316869
1000,128,0.003384,128,0.314436
1000,128,0.003472,128,0.316804
1000,128,0.003451,128,0.315416
1000,128,0.003497,128,0.314908
1000,128,0.003375,128,0.315941
1000,128,0.003393,128,0.311526
1000,128,0.003450,128,0.316934
1000,128,0.003347,128,0.316601
1000,128,0.003362,128,0.314792
1000,128,0.003470,128,0.316838
1000,128,0.003501,128,0.316839
1000,128,0.003674,128,0.316829
1000,128,0.003482,128,0.316779
1000,128,0.003383,128,0.316836
1000,128,0.003528,128,0.316873
1000,128,0.003492,128,0.316840
1000,128,0.003367,128,0.316932
1000,128,0.003487,128,0.316869
1000,128,0.003493,128,0.316933
1000,128,0.003423,128,0.316634
1000,128,0.003431,128,0.316913
1000,128,0.003483,128,0.314898
1000,128,0.003424,128,0.316791
1000,128,0.003503,128,0.316940
1000,128,0.003426,128,0.316939
1000,128,0.003494,128,0.316940
1000,128,0.003439,128,0.316674
1000,128,0.003423,128,0.316922
1000,128,0.003445,128,0.316936
1000,128,0.003364,128,0.316936
1000,128,0.003518,128,0.316862
1000,128,0.003458,128,0.316939
1000,128,0.003467,128,0.316917
1000,128,0.003454,128,0.316941
1000,128,0.003504,128,0.316930
1000,128,0.003359,128,0.316872
1000,128,0.003500,128,0.316936
1000,128,0.003465,128,0.316575
1000,128,0.003369,128,0.316939
1000,128,0.003472,128,0.316803
1000,128,0.003456,128,0.316890
1000,128,0.003427,128,0.316932
1000,128,0.003390,128,0.316921
1000,128,0.003437,128,0.316926
1000,128,0.003465,128,0.316936
1000,128,0.003374,128,0.316906
1000,128,0.003417,128,0.316939
1000,128,0.003428,128,0.316940
1000,128,0.003454,128,0.316920
1000,128,0.003486,128,0.316914
1000,128,0.003462,128,0.316670
1000,128,0.003452,128,0.316826
1000,128,0.003499,128,0.316673
1000,128,0.003462,128,0.316584
1000,128,0.003425,128,0.314262
1000,128,0.003377,128,0.316674
1000,128,0.003450,128,0.316475
1000,128,0.003434,128,0.315161
1000,128,0.003494,128,0.316587
1000,128,0.003508,128,0.316939
1000,128,0.003384,128,0.316674
1000,128,0.003410,128,0.316490
1000,128,0.003513,128,0.316609
1000,128,0.003420,128,0.316576
1000,128,0.003407,128,0.316935
1000,128,0.003479,128,0.316672
1000,128,0.003447,128,0.316847
1000,128,0.003490,128,0.316939
1000,128,0.003470,128,0.316675
1000,128,0.003465,128,0.316935
1000,128,0.003439,128,0.316918
1000,128,0.003478,128,0.316854
1000,128,0.003448,128,0.316937
1500,128,0.005213,128,0.316672
1500,128,0.005060,128,0.316930
1500,128,0.005245,128,0.316932
1500,128,0.005208,128,0.316870
1500,128,0.005167,128,0.316940
1500,128,0.005065,128,0.316937
1500,128,0.005072,128,0.316939
1500,128,0.005041,128,0.316676
1500,128,0.005047,128,0.316848
1500,128,0.005233,128,0.316916
1500,128,0.005241,128,0.316929
1500,128,0.005044,128,0.316934
1500,128,0.005065,128,0.316917
1500,128,0.005213,128,0.316867
1500,128,0.005024,128,0.316940
1500,128,0.005129,128,0.316918
1500,128,0.005129,128,0.316935
1500,128,0.005263,128,0.316938
1500,128,0.005065,128,0.316865
1500,128,0.005190,128,0.316938
1500,128,0.005235,128,0.316926
1500,128,0.005282,128,0.316937
1500,128,0.005196,128,0.316931
1500,128,0.005241,128,0.316826
1500,128,0.005062,128,0.316676
1500,128,0.005136,128,0.316931
1500,128,0.005164,128,0.316939
1500,128,0.005192,128,0.316834
1500,128,0.005218,128,0.316841
1500,128,0.005052,128,0.316675
1500,128,0.005214,128,0.316930
1500,128,0.005174,128,0.316935
1500,128,0.005090,128,0.316757
1500,128,0.005210,128,0.316923
1500,128,0.005241,128,0.316934
1500,128,0.005235,128,0.316909
1500,128,0.005239,128,0.316934
1500,128,0.005219,128,0.316825
1500,128,0.005227,128,0.316933
1500,128,0.005092,128,0.316835
1500,128,0.005126,128,0.316917
1500,128,0.005174,128,0.316827
1500,128,0.005050,128,0.316876
1500,128,0.005039,128,0.316919
1500,128,0.005226,128,0.316913
1500,128,0.005114,128,0.316925
1500,128,0.005150,128,0.316939
1500,128,0.005164,128,0.316827
1500,128,0.005162,128,0.316833
1500,128,0.005080,128,0.316674
1500,128,0.005185,128,0.316939
1500,128,0.005209,128,0.316594
1500,128,0.005067,128,0.316885
1500,128,0.005240,128,0.316602
1500,128,0.005190,128,0.316905
1500,128,0.005195,128,0.316920
1500,128,0.005241,128,0.316675
1500,128,0.005204,128,0.316887
1500,128,0.005183,128,0.316933
1500,128,0.005203,128,0.316481
1500,128,0.005152,128,0.316933
1500,128,0.005062,128,0.316931
1500,128,0.005052,128,0.316924
1500,128,0.005052,128,0.316661
1500,128,0.005172,128,0.316895
1500,128,0.005268,128,0.316938
1500,128,0.005252,128,0.316920
1500,128,0.005079,128,0.316919
1500,128,0.005229,128,0.316914
1500,128,0.005187,128,0.316910
1500,128,0.005219,128,0.316916
1500,128,0.005140,128,0.316671
1500,128,0.005137,128,0.316915
1500,128,0.005069,128,0.316912
1500,128,0.005131,128,0.316903
1500,128,0.005264,128,0.316834
1500,128,0.005178,128,0.316870
1500,128,0.005219,128,0.316939
1500,128,0.005095,128,0.315165
1500,128,0.005216,128,0.316925
1500,128,0.005186,128,0.316933
1500,128,0.005017,128,0.316868
1500,128,0.005223,128,0.316926
1500,128,0.005202,128,0.316923
1500,128,0.005151,128,0.316942
1500,128,0.005147,128,0.316673
1500,128,0.005188,128,0.316388
1500,128,0.005172,128,0.316931
1500,128,0.005042,128,0.316638
1500,128,0.005058,128,0.316939
