ITERATIONS,DB_SIZE,SW_ELAPSED,HW_ELAPSED
200,800,0.001407,0.000565
200,800,0.001383,0.000571
200,800,0.001381,0.000432
200,800,0.001380,0.000566
200,800,0.001381,0.000567
200,800,0.001382,0.000565
200,800,0.001381,0.000515
200,800,0.001394,0.000566
200,800,0.001381,0.000572
200,800,0.001381,0.000566
200,800,0.001379,0.000552
200,800,0.001381,0.000567
200,800,0.001380,0.000566
200,800,0.001381,0.000565
200,800,0.001381,0.000566
200,800,0.001381,0.000565
200,800,0.001378,0.000566
200,800,0.001380,0.000566
200,800,0.001390,0.000565
200,800,0.001381,0.000565
200,800,0.001393,0.000564
200,800,0.001381,0.000565
200,800,0.001388,0.000565
200,800,0.001400,0.000566
200,800,0.001395,0.000565
200,800,0.001381,0.000566
200,800,0.001388,0.000564
200,800,0.001380,0.000565
200,800,0.001394,0.000565
200,800,0.001381,0.000566
200,800,0.001388,0.000565
200,800,0.001379,0.000566
200,800,0.001393,0.000565
200,800,0.001381,0.000566
200,800,0.001388,0.000565
200,800,0.001381,0.000565
200,800,0.001393,0.000565
200,800,0.001380,0.000566
200,800,0.001387,0.000566
200,800,0.001381,0.000565
200,800,0.001395,0.000564
200,800,0.001380,0.000566
200,800,0.001389,0.000565
200,800,0.001381,0.000565
200,800,0.001393,0.000565
200,800,0.001382,0.000566
200,800,0.001388,0.000565
200,800,0.001382,0.000565
200,800,0.001392,0.000564
200,800,0.001401,0.000565
200,800,0.001389,0.000565
200,800,0.001400,0.000565
200,800,0.001381,0.000564
200,800,0.001380,0.000578
200,800,0.001381,0.000564
200,800,0.001400,0.000571
200,800,0.001381,0.000565
200,800,0.001380,0.000565
200,800,0.001380,0.000565
200,800,0.001380,0.000566
200,800,0.001380,0.000565
200,800,0.001381,0.000502
200,800,0.001379,0.000568
200,800,0.001382,0.000566
200,800,0.001379,0.000567
200,800,0.001381,0.000566
200,800,0.001379,0.000565
200,800,0.001394,0.000565
200,800,0.001381,0.000567
200,800,0.001389,0.000565
200,800,0.001382,0.000566
200,800,0.001395,0.000565
200,800,0.001381,0.000565
200,800,0.001388,0.000565
200,800,0.001382,0.000565
200,800,0.001393,0.000565
200,800,0.001379,0.000566
200,800,0.001389,0.000565
200,800,0.001381,0.000566
200,800,0.001395,0.000565
200,800,0.001381,0.000566
200,800,0.001388,0.000564
200,800,0.001381,0.000565
200,800,0.001394,0.000565
200,800,0.001381,0.000565
200,800,0.001389,0.000564
200,800,0.001381,0.000565
200,800,0.001394,0.000564
200,800,0.001380,0.000565
200,800,0.001391,0.000564
200,800,0.001380,0.000565
200,800,0.001395,0.000564
200,800,0.001381,0.000567
200,800,0.001389,0.000565
200,800,0.001381,0.000566
200,800,0.001394,0.000565
200,800,0.001381,0.000566
200,800,0.001389,0.000564
200,800,0.001382,0.000565
200,800,0.001395,0.000563
200,800,0.001379,0.000565
200,800,0.001379,0.000565
200,800,0.001380,0.000573
200,800,0.001382,0.000564
200,800,0.001382,0.000565
200,800,0.001380,0.000565
200,800,0.001382,0.000565
200,800,0.001382,0.000565
200,800,0.001388,0.000565
200,800,0.001381,0.000566
200,800,0.001381,0.000565
200,800,0.001380,0.000566
200,800,0.001381,0.000537
200,800,0.001381,0.000567
200,800,0.001388,0.000565
200,800,0.001379,0.000565
200,800,0.001391,0.000564
200,800,0.001381,0.000565
200,800,0.001389,0.000565
200,800,0.001380,0.000565
200,800,0.001391,0.000565
200,800,0.001380,0.000566
200,800,0.001388,0.000564
200,800,0.001380,0.000566
200,800,0.001393,0.000565
200,800,0.001379,0.000565
200,800,0.001389,0.000565
200,800,0.001380,0.000566
200,800,0.001400,0.000565
200,800,0.001382,0.000566
200,800,0.001389,0.000565
200,800,0.001379,0.000565
200,800,0.001392,0.000565
200,800,0.001380,0.000566
200,800,0.001393,0.000566
200,800,0.001381,0.000565
200,800,0.001397,0.000564
200,800,0.001381,0.000566
200,800,0.001390,0.000565
200,800,0.001400,0.000566
200,800,0.001394,0.000564
200,800,0.001381,0.000565
200,800,0.001389,0.000565
200,800,0.001379,0.000566
200,800,0.001393,0.000565
200,800,0.001382,0.000566
200,800,0.001389,0.000565
200,800,0.001380,0.000565
200,800,0.001380,0.000564
200,800,0.001381,0.000578
200,800,0.001382,0.000565
200,800,0.001381,0.000572
200,800,0.001381,0.000565
200,800,0.001381,0.000566
200,800,0.001382,0.000566
200,800,0.001380,0.000566
200,800,0.001380,0.000565
200,800,0.001381,0.000565
200,800,0.001383,0.000592
200,800,0.001385,0.000568
200,800,0.001382,0.000580
200,800,0.001379,0.000565
200,800,0.001385,0.000567
200,800,0.001378,0.000567
200,800,0.001383,0.000566
200,800,0.001385,0.000566
200,800,0.001379,0.000568
200,800,0.001382,0.000567
200,800,0.001380,0.000568
200,800,0.001380,0.000566
200,800,0.001384,0.000567
200,800,0.001380,0.000566
200,800,0.001396,0.000565
200,800,0.001381,0.000566
200,800,0.001391,0.000566
200,800,0.001382,0.000566
200,800,0.001395,0.000565
200,800,0.001380,0.000566
200,800,0.001387,0.000564
200,800,0.001381,0.000565
200,800,0.001403,0.000564
200,800,0.001386,0.000566
200,800,0.001397,0.000564
200,800,0.001388,0.000565
200,800,0.001394,0.000565
200,800,0.001381,0.000566
200,800,0.001389,0.000565
200,800,0.001380,0.000566
200,800,0.001414,0.000564
200,800,0.001383,0.000566
200,800,0.001389,0.000564
200,800,0.001387,0.000567
200,800,0.001401,0.000564
200,800,0.001381,0.000565
200,800,0.001389,0.000564
200,800,0.001382,0.000565
200,800,0.001393,0.000564
200,800,0.001381,0.000566
200,800,0.001389,0.000565
200,800,0.001380,0.000565
200,1600,0.002784,0.001027
200,1600,0.002734,0.001033
200,1600,0.002752,0.001029
200,1600,0.002722,0.001030
200,1600,0.002743,0.001029
200,1600,0.002732,0.001028
200,1600,0.002726,0.001035
200,1600,0.002727,0.001029
200,1600,0.002726,0.001029
200,1600,0.002753,0.001029
200,1600,0.002715,0.001029
200,1600,0.002723,0.001028
200,1600,0.002725,0.001028
200,1600,0.002732,0.001028
200,1600,0.002733,0.001028
200,1600,0.002731,0.001027
200,1600,0.002753,0.001028
200,1600,0.002741,0.001029
200,1600,0.002736,0.001027
200,1600,0.002738,0.001028
200,1600,0.002736,0.001028
200,1600,0.002742,0.001027
200,1600,0.002723,0.001028
200,1600,0.002752,0.001027
200,1600,0.002759,0.001028
200,1600,0.002715,0.001020
200,1600,0.002712,0.001029
200,1600,0.002716,0.001029
200,1600,0.002732,0.001026
200,1600,0.002729,0.001027
200,1600,0.002731,0.001027
200,1600,0.002761,0.001027
200,1600,0.002729,0.001027
200,1600,0.002728,0.001027
200,1600,0.002781,0.001028
200,1600,0.002729,0.001027
200,1600,0.002756,0.001028
