DATA_SIZE,MICROBLAZE_TIME,REFERENCE_TIME
4096,0.012651,0.000530
4096,0.010261,0.000526
4096,0.010261,0.000525
4096,0.010260,0.000525
4096,0.010261,0.000525
4096,0.010260,0.000525
4096,0.010260,0.000525
4096,0.010247,0.000530
4096,0.010261,0.000534
4096,0.010261,0.000525
4096,0.010261,0.000525
4096,0.010261,0.000525
4096,0.010260,0.000525
4096,0.010260,0.000525
4096,0.010261,0.000525
4096,0.010261,0.000525
4096,0.010255,0.000525
4096,0.010261,0.000525
4096,0.010260,0.000531
4096,0.010260,0.000525
4096,0.010260,0.000524
4096,0.010261,0.000525
4096,0.010261,0.000525
4096,0.010261,0.000525
4096,0.010261,0.000525
8192,0.020197,0.001030
8192,0.020202,0.001029
8192,0.020201,0.001035
8192,0.020201,0.001029
8192,0.020202,0.001029
8192,0.020196,0.001035
8192,0.019951,0.001030
8192,0.020202,0.001030
8192,0.020202,0.001034
8192,0.020197,0.001029
8192,0.020202,0.001029
8192,0.020202,0.001030
8192,0.020202,0.001029
8192,0.020202,0.001030
8192,0.020197,0.001030
8192,0.020200,0.001036
8192,0.020201,0.001029
8192,0.020201,0.001029
8192,0.020201,0.001035
8192,0.020197,0.001030
8192,0.020201,0.001030
8192,0.020202,0.001034
8192,0.020201,0.001030
8192,0.020201,0.001030
8192,0.020198,0.001035
16384,0.040084,0.002038
16384,0.040077,0.002045
16384,0.040085,0.002039
16384,0.040085,0.002043
16384,0.040080,0.002039
16384,0.040084,0.002043
16384,0.040079,0.002038
16384,0.040084,0.002043
16384,0.040085,0.002038
16384,0.040079,0.002043
16384,0.040083,0.002038
16384,0.040078,0.002044
16384,0.040090,0.002038
16384,0.040081,0.002038
16384,0.040013,0.002044
16384,0.040084,0.002038
16384,0.040080,0.002044
16384,0.040084,0.002038
16384,0.040003,0.002046
16384,0.040084,0.002038
16384,0.040079,0.002044
16384,0.040083,0.002037
16384,0.040083,0.002044
16384,0.040081,0.002038
16384,0.040084,0.002043
32768,0.079849,0.004061
32768,0.079845,0.004062
