DATA_SIZE,MICROBLAZE_TIME,REFERENCE_TIME
80,0.002317,0.000025
160,0.000681,0.000037
240,0.000676,0.000036
320,0.001005,0.000053
400,0.001833,0.000068
480,0.001326,0.000068
560,0.001655,0.000084
640,0.001979,0.000100
720,0.001980,0.000100
800,0.002303,0.000115
880,0.002306,0.000116
960,0.002633,0.000132
1040,0.002965,0.000156
1120,0.002959,0.000148
1200,0.003283,0.000163
1280,0.003604,0.000179
1360,0.003610,0.000179
1440,0.003943,0.000195
1520,0.003941,0.000194
1600,0.004263,0.000210
1680,0.004588,0.000226
1760,0.004606,0.000226
1840,0.004921,0.000242
1920,0.005248,0.000258
2000,0.005247,0.000257
2080,0.005571,0.000274
2160,0.005572,0.000274
2240,0.005898,0.000289
2320,0.006226,0.000305
2400,0.006230,0.000304
2480,0.006567,0.000321
2560,0.006880,0.000337
2640,0.006891,0.000337
2720,0.007200,0.000352
2800,0.007125,0.000352
2880,0.007535,0.000368
2960,0.007863,0.000384
3040,0.007867,0.000384
3120,0.008189,0.000399
3200,0.008497,0.000415
3280,0.008509,0.000415
3360,0.008856,0.000431
3440,0.008849,0.000431
3520,0.009169,0.000446
3600,0.009496,0.000463
3680,0.009508,0.000469
3760,0.009830,0.000478
3840,0.010153,0.000494
3920,0.010150,0.000494
4000,0.010484,0.000510
4080,0.010479,0.000510
4160,0.010543,0.000526
4240,0.011140,0.000542
4320,0.011133,0.000541
4400,0.011467,0.000557
4480,0.011794,0.000572
4560,0.011801,0.000572
4640,0.012120,0.000589
4720,0.012117,0.000596
4800,0.012454,0.000605
4880,0.012777,0.000620
4960,0.012777,0.000628
5040,0.013104,0.000636
5120,0.013436,0.000652
5200,0.013435,0.000652
5280,0.013759,0.000675
5360,0.013757,0.000668
5440,0.014092,0.000684
5520,0.014411,0.000699
5600,0.014426,0.000699
5680,0.014747,0.000715
5760,0.015155,0.000730
5840,0.015190,0.000730
5920,0.015510,0.000746
6000,0.015515,0.000747
6080,0.015764,0.000770
6160,0.016172,0.000778
6240,0.016183,0.000777
6320,0.016521,0.000794
6400,0.016848,0.000809
6480,0.016843,0.000809
6560,0.017183,0.000825
6640,0.017137,0.000826
6720,0.017508,0.000841
6800,0.017851,0.000868
6880,0.017853,0.000857
6960,0.018176,0.000872
7040,0.018510,0.000888
7120,0.018514,0.000888
7200,0.018843,0.000904
7280,0.018839,0.000913
7360,0.019174,0.000928
7440,0.019489,0.000935
7520,0.019500,0.000935
7600,0.019827,0.000951
7680,0.020164,0.000967
7760,0.020177,0.000975
7840,0.020504,0.000982
7920,0.020502,0.000983
8000,0.020852,0.000998
8080,0.021167,0.001014
8160,0.021149,0.001015
8240,0.021497,0.001038
8320,0.021838,0.001046
8400,0.021829,0.001046
8480,0.022163,0.001066
8560,0.022147,0.001071
8640,0.022488,0.001085
8720,0.022736,0.001103
8800,0.022814,0.001101
8880,0.023144,0.001117
8960,0.023497,0.001125
9040,0.023501,0.001125
9120,0.023877,0.001140
9200,0.023846,0.001149
9280,0.024153,0.001156
9360,0.024485,0.001171
9440,0.024485,0.001180
9520,0.024819,0.001188
9600,0.025155,0.001203
9680,0.025155,0.001203
9760,0.025400,0.001219
9840,0.025476,0.001219
9920,0.025799,0.001242
10000,0.026145,0.001250
10080,0.026170,0.001261
10160,0.026486,0.001275
10240,0.026758,0.001282
10320,0.026826,0.001282
10400,0.027150,0.001298
10480,0.027142,0.001297
10560,0.027479,0.001313
10640,0.027800,0.001337
10720,0.027816,0.001329
10800,0.028137,0.001346
10880,0.028469,0.001369
10960,0.028455,0.001361
11040,0.028821,0.001385
11120,0.028823,0.001377
11200,0.029085,0.001393
11280,0.029473,0.001417
11360,0.029482,0.001408
11440,0.029825,0.001429
11520,0.030207,0.001440
11600,0.029974,0.001440
11680,0.030482,0.001456
11760,0.030467,0.001456
11840,0.030712,0.001471
11920,0.031138,0.001487
12000,0.031145,0.001487
12080,0.031478,0.001512
12160,0.031804,0.001519
12240,0.031793,0.001518
12320,0.032150,0.001542
12400,0.032046,0.001535
12480,0.032473,0.001564
12560,0.032806,0.001566
12640,0.032744,0.001566
12720,0.033142,0.001589
12800,0.033211,0.001597
12880,0.033498,0.001597
12960,0.033844,0.001613
13040,0.033814,0.001613
13120,0.034144,0.001637
13200,0.034477,0.001644
13280,0.034474,0.001645
13360,0.034815,0.001661
13440,0.035147,0.001676
13520,0.035088,0.001684
13600,0.035473,0.001705
13680,0.035488,0.001692
13760,0.035810,0.001722
13840,0.036150,0.001723
13920,0.036161,0.001733
14000,0.036483,0.001739
14080,0.036863,0.001756
14160,0.036824,0.001765
14240,0.037130,0.001779
14320,0.037141,0.001771
14400,0.037493,0.001786
14480,0.037811,0.001802
14560,0.037822,0.001811
14640,0.038137,0.001826
14720,0.038462,0.001834
14800,0.038478,0.001834
14880,0.038808,0.001850
14960,0.038795,0.001850
15040,0.039139,0.001874
15120,0.039485,0.001881
15200,0.039477,0.001881
15280,0.039797,0.001908
15360,0.040139,0.001913
15440,0.040153,0.001923
15520,0.040496,0.001928
15600,0.040366,0.001929
15680,0.040835,0.001953
15760,0.041218,0.001980
15840,0.041169,0.001960
15920,0.041497,0.001976
16000,0.041825,0.001992
16080,0.041861,0.001991
16160,0.042210,0.002007
16240,0.042185,0.002007
16320,0.042533,0.002023
16400,0.042858,0.002047
16480,0.042825,0.002047
16560,0.043179,0.002054
16640,0.043504,0.002078
16720,0.043500,0.002079
16800,0.043822,0.002086
16880,0.043831,0.002094
16960,0.044155,0.002109
17040,0.044495,0.002118
17120,0.044474,0.002125
17200,0.044816,0.002141
17280,0.045132,0.002150
17360,0.045148,0.002149
17440,0.045457,0.002165
17520,0.045481,0.002170
17600,0.045803,0.002181
17680,0.046154,0.002196
17760,0.046132,0.002197
17840,0.046457,0.002213
17920,0.046801,0.002238
18000,0.046806,0.002236
18080,0.047150,0.002243
18160,0.047185,0.002251
18240,0.047521,0.002260
18320,0.047833,0.002284
18400,0.047860,0.002275
18480,0.048173,0.002300
18560,0.048539,0.002315
18640,0.048478,0.002306
18720,0.048838,0.002331
18800,0.048824,0.002330
18880,0.049198,0.002346
18960,0.049399,0.002362
19040,0.049508,0.002364
19120,0.049876,0.002384
19200,0.050179,0.002397
19280,0.050092,0.002394
19360,0.050481,0.002401
19440,0.050484,0.002401
19520,0.050846,0.002425
19600,0.051138,0.002433
19680,0.051129,0.002440
19760,0.051472,0.002457
19840,0.051825,0.002474
19920,0.051815,0.002464
20000,0.052135,0.002488
20080,0.052183,0.002490
20160,0.052507,0.002496
20240,0.052815,0.002512
20320,0.052843,0.002520
20400,0.053164,0.002536
20480,0.053498,0.002551
20560,0.053509,0.002553
20640,0.053861,0.002572
20720,0.053829,0.002559
20800,0.054171,0.002575
20880,0.054540,0.002598
20960,0.054471,0.002598
21040,0.054839,0.002607
21120,0.055225,0.002632
21200,0.055225,0.002622
21280,0.055522,0.002647
21360,0.055574,0.002638
21440,0.055839,0.002661
21520,0.056199,0.002677
21600,0.056210,0.002669
21680,0.056505,0.002685
21760,0.056857,0.002701
21840,0.056888,0.002710
21920,0.057194,0.002725
22000,0.057234,0.002734
22080,0.057575,0.002733
22160,0.057896,0.002748
22240,0.057909,0.002756
22320,0.058222,0.002772
22400,0.058538,0.002788
22480,0.058530,0.002780
22560,0.058874,0.002804
22640,0.058851,0.002795
22720,0.059182,0.002821
22800,0.059525,0.002827
22880,0.059522,0.002834
22960,0.059921,0.002850
23040,0.060229,0.002858
23120,0.060195,0.002858
23200,0.060549,0.002883
23280,0.060588,0.002887
23360,0.060904,0.002899
23440,0.061245,0.002914
23520,0.061200,0.002913
23600,0.061575,0.002930
23680,0.061851,0.002938
23760,0.061905,0.002944
23840,0.062202,0.002961
23920,0.062199,0.002961
